Nom du document;Réponse 0;Source 0;Réponse 1;Source 1
IRSN Fiche seisme MULHOUSE 13092022.pdf;The magnitude of the earthquake in Mulhouse is 3.9 (Mw - Géoazur) and its localization is 7.471° E and 47.669 °N. The consequences of the earthquake were felt throughout the region of Grand Est. At 13 September 2022, 2068 témoignages were collected by the BCSF, allowing for the establishment of a map of seismic intensities that reached a maximum of IV, corresponding to a perception of moderate intensity and no damage to buildings.;IRSN Fiche seisme MULHOUSE 13092022.pdf & Note-Information-Seisme-Teil-14112019.pdf;"The given context information does not provide any direct information about the link between the Mulhouse earthquake and the tectonics of the Rhine Fossa. However, it does mention that the earthquake occurred at 14 km southeast of Mulhouse and 15 km north of Basel, with a localization according to the RENASS (Réseau national d'études sismiques). The RENASS is a French network that studies seismic activity and its potential impact on the environment and human activities.

As for the future activity in the region, the context information mentions that the Bureau d'évaluation des risques sismiques pour la sûreté des installations (BERSSIN) of the IRSN (Institut de radioprotection et de sûreté nucléaire) conducts research and expertises on the seismic risk as an external hazard for nuclear installations. However, it does not provide any specific information on the future activity in the region.

It is worth noting that the Rhine Fossa is a major tectonic fault that runs through Switzerland, France, and Germany. It is considered one of the most active tectonic faults in Europe, with a history of frequent earthquakes. The last major earthquake on the Rhine Fossa occurred in 1986 in the Swiss town of Aigle, with a magnitude of 6.1. Since then, there have been several smaller earthquakes in the region.

In summary, while the given context information does not provide specific information on the link between the Mulhouse earthquake and the tectonics of the Rhine Fossa, it does mention that the earthquake occurred in the region of the Rhine Fossa and that the BERSSIN conducts research on seismic risk as an external hazard for nuclear installations. The Rhine Fossa is a major tectonic fault that runs through the region and has a history of frequent earthquakes.";IRSN Fiche seisme MULHOUSE 13092022.pdf & IRSN Fiche seisme MULHOUSE 13092022.pdf
IRSN_Fiche-Seisme-Maroc.pdf;The earthquake in Morocco on September 8, 2023, had a magnitude of 6.8, according to the United States Geological Survey (USGS). The epicenter of the earthquake was located 70 kilometers southwest of Marrakech, with an estimated depth of 11.6 kilometers by the Centre Sismologique Euro-Méditerranéen (CSEM) and 26 kilometers by the USGS. The earthquake was followed by 20 aftershocks with magnitudes ranging from 2.2 to 4.8, most of which were located to the northeast of the epicenter. According to the CSEM, the earthquake was felt over a wide region that extended to Algeria, Spain, and Portugal (Figure 1). The earthquake caused significant damage in the epicentral region, resulting in numerous building collapses and casualties.;IRSN_Fiche-Seisme-Maroc.pdf & IRSN_Fiche-Seisme-Maroc.pdf;"The earthquake of 8 September 2023 in Morocco occurred at a magnitude of 6.8, according to the United States Geological Survey (USGS). The epicenter of the earthquake was located 70 km southwest of Marrakech, and the depth of the foyer is still uncertain, with estimates ranging from 11.6 km by the Centre Sismologique Euro-Méditerranéen (CSEM) to 26 km by the USGS. The earthquake was followed by 20 aftershocks with magnitudes ranging from 2.2 to 4.8. These events were mostly located north-east of the main earthquake's epicenter, suggesting that the rupture propagated in that direction. According to the CSEM, the earthquake was felt over a vast region that extended to Algiers, Spain, and Portugal (Figure 1). The earthquake had a significant impact in the region epicentrale, causing numerous building collapses and resulting in many casualties.

In terms of the impact on nuclear installations, the Maroc disposes of a research reactor with a power of 2 MWth, which entered service in 2007 and is located in Rabat, more than 350 km away from the epicenter of the earthquake. At this time, the IRSN does not have any information on the potential impact of the earthquake on this installation. The Maroc does not have any nuclear power plants that produce electricity. However, a site for a nuclear power plant has been selected and qualified in Sidi Boulbra, located 135 km from the epicenter of the earthquake. No decision has been made yet to start a nuclear power program in Morocco.";IRSN_Fiche-Seisme-Maroc.pdf & IRSN_Fiche-Seisme-Maroc.pdf
IRSN_Fiche-Seisme-Ouest-France-16-juin-2023_V1-17062023.pdf;"The earthquake that occurred in the west of France on June 16, 2023, was a magnitude 4.9 earthquake (estimated by the Institut de Physique du Globe et l'Observatoire de la Côte d'Azur) with a magnitude local between 5.3 (Site national d'information sur la sismicité de la France - Rénass) and 5.8 (CEA LDG). The earthquake was located 24 km southwest of Niort and 35 km northeast of La Rochelle. The estimated depth of the foyer is currently 1 km by the Rénass and 5 km by the USGS. The earthquake was followed by several aftershocks, including three of magnitude local greater than 2.5 (information from Rénass on June 17, 2023 at 10h15). The largest aftershock of magnitude local was 4.6 (Rénass) to 5.1 (CEA LDG) (Mw 3.9) and occurred on June 17, 2023 at 4h27. Other aftershocks are expected to occur in the coming days and weeks in the region.

The earthquake was widely felt by the population, as reported by internet testimonies collected on the site of the Bureau Central Sismologique Français (BCSF) (Figure 1). The maximum intensity macrosismique (VI) reported by the BCSF on June 16, 2023 at 22h29 was based on 4488 testimonies. According to the Centre Ministériel de Veille Opérationnelle et d'Alerte - CMVOA, numerous material damages were reported in the southwest of the department of Deux-Sèvres, despite the first elements. The Groupe d'Intervention Macrosismique (GIM) piloted by the BCSF launched a mission post-sismique to evaluate the intensité macrosismique at the scale of the different communes in the region.

The region where the earthquake occurred is characterized by a moderate seismic activity. The seismes recensés dans la région se produisent sur des failles orientées NO -SE à NNO -SSE héritées de la mise en place du Massif armoricain, il y a 300 million d'années, et réactivées depuis. In a recent past, two earthquakes have occurred in the region: the first of intensity maximale V (Mw 3.8) occurred in La Rochelle on April 28, 2016, localized at 30 km southwest of the earthquake on June 16, 2023, and the second of intensity maximale VI (Mw 3.9) occurred in Vendée on February 12, 2018, at 47 km north-east. The fiches d'informations relatives à ces deux séismes sont disponibles on the site of the IRSN (www.irsn.fr). Among the historical earthquakes in the region, the earthquakes of September 7, 1972 (at Oléron), October 6, 1711 (at Loudun), and January 9, 1772 (at Parthenay) have reached or exceeded an intensity épicentrale of VII (damages to buildings).";IRSN_Fiche-Seisme-Ouest-France-16-juin-2023_V1-17062023.pdf & IRSN_Fiche-Seisme-Ouest-France-16-juin-2023_V1-17062023.pdf;"The earthquake that occurred on June 16, 2023, in the west of France, was not considered to be a significant event in terms of its impact on the region's sismic activity. However, it was felt in the administrative buildings of the nuclear power plants at Civaux, Blayais, and Chinon. The earthquake did not cause any damage to the nuclear reactors themselves, but it did trigger an alarm in the control room of the Civaux nuclear power plant.

In terms of the impact on the installations nucléaires, the earthquake was felt in the administrative buildings of the nuclear power plants at Civaux, Blayais, and Chinon. However, it did not cause any damage to the nuclear reactors themselves. The earthquake did trigger an alarm in the control room of the Civaux nuclear power plant, but it did not cause any damage to the reactors.

Overall, the earthquake that occurred on June 16, 2023, in the west of France was not considered to be a significant event in terms of its impact on the region's sismic activity or on the installations nucléaires.";IRSN_Fiche-Seisme-Ouest-France-16-juin-2023_V1-17062023.pdf & Note-Information-Seisme-Teil-14112019.pdf
irsn_seisme_argeles_gazost_112006.pdf;"The query is asking for information about the earthquake that occurred in Argelès-Gazost on November 17, 2006. The earthquake had a magnitude of 5.2 and its epicenter was located at a latitude of 42.97° North and a longitude of 0.1° West. The earthquake was followed by a few aftershocks, including one with a magnitude of 3.3. The profundity of the earthquake is estimated to be between 5 and 10 kilometers. The earthquake was reported by various media outlets, including AFP, Radio France, and Le Nouvel Observateur.

The Bureau d'évaluation des risques sismiques pour la sûreté des installations (BERSSIN) of the IRSN conducted research and expertises on the seismic risk as an external aggression factor for installations at risk. The contact information for BERSSIN is Catherine Berge, IRSN/BERSSIN, 01 58 35 86 71, catherine.berge@irsn.fr.";irsn_seisme_argeles_gazost_112006.pdf & irsn_seisme_argeles_gazost_112006.pdf;The impact of the 2006 Argelès-Gazost earthquake on the nuclear installations in the region was minimal. The closest nuclear installation to the epicenter of the earthquake was the EDF Golfech nuclear power plant, which is located 145 kilometers away. The earthquake was not felt at the site, and inspections carried out by EDF confirmed that there was no impact on the hydroelectric dams and other structures in the area.;irsn_seisme_argeles_gazost_112006.pdf & irsn_seisme_argeles_gazost_112006.pdf
irsn_seisme_chinon_11_2006.pdf;The earthquake that occurred on November 5, 2006, in the vicinity of the Chinon nuclear power plant in France was a low-magnitude event with a magnitude of 4.1 on the Richter scale. The epicenter of the earthquake was located at a latitude of 47.30° North and a longitude of 0.08° East, approximately 10 kilometers from the nuclear power plant. The impact of the earthquake was relatively minimal, with no significant damage reported to the surrounding area. However, the event did prompt concerns about the safety of the nuclear power plant and led to increased scrutiny of the site's seismic risk.;irsn_seisme_chinon_11_2006.pdf & irsn_seisme_chinon_11_2006.pdf;The impact of the Chinon earthquake on the nuclear power plants in the region was minimal. The earthquake occurred at a distance of about 10 kilometers from the Chinon nuclear power plant, which was the closest nuclear power plant to the epicenter of the earthquake. The earthquake had a magnitude of 4.1 on the Richter scale, which is considered a low-magnitude earthquake. The earthquake did not trigger the seismic detection system at the Chinon nuclear power plant, and there were no enregistrements of the earthquake's seismic waves recorded by the nearest seismic station. The Bureau d'évaluation des risques sismiques pour la sûreté des installations (BERSSIN) of the IRSN conducted research and expertises on the impact of the earthquake on the nuclear power plants in the region and found that the impact was minimal.;irsn_seisme_chinon_11_2006.pdf & irsn_seisme_chinon_11_2006.pdf
IRSN_seisme_Christchurch-NZ_23022011.pdf;"The impacts of the Christchurch earthquake of February 21, 2011, in comparison to the September 2010 earthquake in New Zealand are as follows:

1. Magnitude: The September 2010 earthquake had a magnitude of 7.1, while the February 2011 earthquake had a magnitude of 6.3.
2. Location: The September 2010 earthquake was located 30 km away from Christchurch, while the February 2011 earthquake was located 10 km away from Christchurch.
3. Damage: The February 2011 earthquake caused more damage than the September 2010 earthquake, despite having a lower magnitude. This is likely due to the fact that the February 2011 earthquake was closer to Christchurch and caused more damage to the city's infrastructure.
4. Human casualties: The September 2010 earthquake caused no human casualties, while the February 2011 earthquake caused 75 deaths and 300 people to go missing.
5. Replices: Both earthquakes were followed by numerous aftershocks, but the February 2011 earthquake was preceded by a smaller earthquake on January 19, 2011, which may have contributed to the increased damage caused by the February 2011 earthquake.

Overall, the February 2011 earthquake had a greater impact on the city of Christchurch and its inhabitants than the September 2010 earthquake, despite having a lower magnitude.";IRSN_seisme_Christchurch-NZ_23022011.pdf & IRSN_seisme_Christchurch-NZ_23022011.pdf;"I  N  F  O  R  M  A  T  I  O  N 
3
Les installations nucléaires
La Nouvelle-Zélande dispose de deux centrales nucléaires : Tongariro (1 réacteur de 50 MWe) et Tokaimura (2 réacteurs de 1380 MWe chacun). Les centrales sont situées respectivement à 15 km et 150 km de l'épicentre du séisme du 21 mai 2003. Compte tenu de leur distance impor tante des centrales, aucun effet notable n'est attendu à la suite du séisme du 21 mai 2003.

Les caractéristiques de la faille de GreenDale sont inconnues.";irsn_seisme-algerie_052003.pdf & irsn_Seisme-Mexique_012003.pdf
IRSN_seisme_france-26022012_V2.pdf;The earthquake that occurred on February 26, 2012, in Saint-Paul-sur-Ubaye, France, was a moderate earthquake with a magnitude of 4.8 (Ml - CEA). The earthquake was felt widely by the population in the south-east of France and in the Piedmont region of Italy. The most intense seismic activity was recorded at V (seismic intensity) on the Beaufort scale, which indicates that the earthquake was strongly felt and caused slight damage to buildings. The earthquake was caused by a fault slip mechanism, which is common in this region of the Alps. The region of Saint-Paul-sur-Ubaye has experienced several earthquakes in the past, including a strong earthquake in 1959 with an intensity of VII-VIII on the Beaufort scale and a magnitude of approximately 5. The Bureau d'évaluation des risques sismiques pour la sûreté des installations (BERSSIN) of the IRSN conducted research and expertises on the seismic risk as a source of external aggression for installations at risk.;IRSN_seisme_france-26022012_V2.pdf & IRSN_seisme_france-26022012_V2.pdf;"The sismic activity in the region of Saint-Paul-sur-Ubaye is linked to the seismic activity in the Alps. The region has experienced several seismic events in the past, including the 1959 earthquake with an intensity of VII-VIII at the epicenter, which caused significant damage and injuries. The 2003-2004 period also saw an important seismic activity with over 16,000 micro-seismes recorded, and an analysis of the spatial distribution of this activity revealed the existence of a 9 km long fault, which was not previously known. The 2003-2004 seismic activity is thought to have been caused by a transensional fault, and the 2012 earthquake occurred in the vicinity of this fault. The 2012 earthquake was associated with a mechanism known as ""en faille normale à composante décrochante,"" which is a common type of seismic activity in this region. The seismic activity in the region is closely monitored, and the data collected from the 2012 earthquake can help to refine the models used to predict seismic activity in the area.";IRSN_seisme_france-26022012_V2.pdf & IRSN_seisme_france-26022012_V2.pdf
IRSN_seisme_Italie-20052012.pdf;"The context information indicates that the region where the 2012 Emilia-Romagna earthquake occurred is in a zone of low seismic activity, or ""faible"" level, on the Italian seismic activity map. This map represents the seismic activity at the commune level on a scale of 1 to 4, with 1 being the highest level of seismic activity and 4 being the lowest. The epicenter of the earthquake is located in an area where it is estimated that an acceleration of 0.15 g may be exceeded with a probability of 10% in 50 years. No direct measurements of this acceleration are available, as there are no instruments nearby. According to the INGV's modeling, based in part on internet témoignages and observed accelerations at distant stations, the maximum accelerations reached in the epicentral region could be up to 0.3 g, with intensities reaching degree VIII on the Mercalli scale. The estimated radius of the zone of significant damage, with intensities greater than VI, is around 20 km.";IRSN_seisme_Italie-20052012.pdf & IRSN_seisme_Italie-20052012.pdf;The context information does not provide an estimation of the alea sismique and mouvement sismique in the basse plaine du Pô.;IRSN-Seisme-LaRochelle-28042016.pdf & IRSN_seisme-Manosque_V1-12072010.pdf
IRSN_Seisme_Lorca-Espagne_18052011.pdf;"The details concerning the earthquake in Lorca, Spain that occurred on May 11, 2011 are as follows:

* The earthquake occurred at 16h47 TU (17h47 local time) and had a magnitude of 5.1 on the Richter scale.
* The epicenter of the earthquake was located at 37.68° S latitude and 1.68° E longitude (source EMSC).
* The earthquake caused significant damage to buildings in the medieval cities of Lorca and Totana, with an estimated 20,000 buildings damaged according to BBC news.
* A large clock fell from a bell tower and several other buildings collapsed.
* The hospital in Lorca was evacuated and nine people died and several hundred were injured.
* A total of 10,000 people were evacuated from the city of Lorca, which has a population of 92,700.
* The preliminary estimate of the intensity of the earthquake in the epicentral area is VII on the EMS98 scale.

The Bureau d'évaluation des risques sismiques pour la sûreté des installations (BERSSIN) de l'IRSN conducted research and expertises on the seismic risk as an external aggression factor for installations at risk.";IRSN_Seisme_Lorca-Espagne_18052011.pdf & IRSN_seisme_turquie-23102011.pdf;The context information provided does not mention any specific seismic activity in France around May 11, 2011. Therefore, it is not possible to provide a specific answer to this query.;IRSN_seisme_turquie-23102011.pdf & IRSN_seisme_Italie-20052012.pdf
irsn_seisme_martinique_122007.pdf;The earthquake in Martinique occurred on November 29, 2007, at 19h00 TU (15h00 local time). The magnitude of the earthquake was estimated to be 7.4.;irsn_seisme_martinique_122007.pdf & irsn_seisme_martinique_122007.pdf;The epicenter of the earthquake in Martinique was located at a latitude of 14.951° North and a longitude of 61.24° West.;irsn_seisme_martinique_122007.pdf & irsn_seisme_martinique_122007.pdf
