
Nom du document;Réponse 0;Source 0;Réponse 1;Source 1
IRSN Fiche seisme MULHOUSE 13092022.pdf;The magnitude of the earthquake that occurred on September 10, 2022 near Mulhouse and Bâle is 3.9 (Mw - Géoazur). The localization of the earthquake is 7.471° E. The consequences of the earthquake were felt throughout the region of Grand Est, with a maximum intensity of IV on the local scale, corresponding to a perception that was moderately felt by humans and caused no damage to buildings.;IRSN Fiche seisme MULHOUSE 13092022.pdf & IRSN-Seisme-Manosque-19092012.pdf;"The 2022 Basel earthquake is related to the tectonics of the Fossé Rhénan, which is a rift system that has been forming for approximately 40 million years. The Fossé Rhénan is characterized by a system of faults oriented primarily in the NNE-SSO direction, with several faults presenting markers of recent activity (quaternary). The mechanism of the earthquake's origin determined for the 2022 Basel earthquake indicates a pure decrochant earthquake in agreement with the regional context and the past seismic activity, including the 1980 Sierentz earthquake. The Sierentz earthquake, of magnitude local 4.7, was located approximately 4 km from the epicenter of the 2022 earthquake and produced several hundred aftershocks in the 16 days following the main shock. To date, a few significant aftershocks have been recorded following the 2022 earthquake, and the activity may continue in the days to come. The precise location of these aftershocks could contribute to identifying the active structures in the region.

The region of Basel is marked by a recurrent sismic activity, which includes several earthquakes of intensity greater than V, the most important being the Basel earthquakes. The 2022 Basel earthquake and the Fossé Rhénan seismic activity are related, as the Fossé Rhénan is a major contributor to the seismic activity in the region. The geodynamic context of the Fossé Rhénan seismic activity is related to the 2022 Basel earthquake, as the earthquake was a pure decrochant earthquake in agreement with the regional context and the past seismic activity.

As for the future activity sismique in the region, the aftershocks following the 2022 earthquake suggest that the activity may continue in the days to come. However, it is important to note that predicting the future activity sismique with precision is difficult, and more information is needed to make accurate predictions.";IRSN Fiche seisme MULHOUSE 13092022.pdf & IRSN Fiche seisme MULHOUSE 13092022.pdf
IRSN_Fiche-Seisme-Maroc.pdf;The earthquake that occurred in Morocco on September 8, 2023, had a magnitude of 6.8, according to the United States Geological Survey (USGS). The estimated depth of the earthquake's foyer is 11.6 km, as reported by the Centre Sismologique Euro-Méditerranéen (CSEM), and 26 km, as reported by the USGS. The earthquake was located 70 km southwest of Marrakech, and it was followed by 20 aftershocks with magnitudes ranging from 2.2 to 4.8. The earthquake caused significant damage in the epicentral region, with numerous building collapses and casualties. The impact of the earthquake was felt on a vast region that extended to Algeria, Spain, and Portugal, as reported by the CSEM.;IRSN-Seisme-Manosque-19092012.pdf & IRSN_Fiche-Seisme-Maroc.pdf;"The 6.8 magnitude earthquake that occurred in Morocco on September 8, 2023, is situated within the context of the country's sismotectonic activity. The earthquake occurred in the Rif and Alboran Sea region, which is characterized by a high level of seismic activity due to the presence of the Nubia-Eurasia Plate Boundary Zone. This region is also known for its high seismic hazards, which are a result of the complex interactions between the African Plate and the Eurasian Plate.

The impact of the earthquake on the nuclear power production in Morocco is not yet clear, as the IRSN does not have any information on the potential effects of the earthquake on the country's nuclear power plants. However, the development of a nuclear power program in Morocco is being considered, with the site of Sidi Boulbra being evaluated for the construction of a nuclear power plant. The site is located on the coast between Safi and Essaouira, approximately 135 km from the epicenter of the earthquake.

In terms of the impact on the research reactor in Morocco, the IRSN has not yet released any information on the potential effects of the earthquake on the installation. However, the Bureau d'évaluation des risques sismiques pour la sûreté des installations (BERSSIN) is responsible for assessing the seismic hazards for industrial installations in Morocco. The BERSSIN uses various methods, including the analysis of seismic data and the distribution of macro-seismic intensities, to evaluate the risk of seismic hazards for industrial installations in the country.";IRSN_Fiche-Seisme-Maroc.pdf & IRSN_Fiche-Seisme-Maroc.pdf
IRSN_Fiche-Seisme-Ouest-France-16-juin-2023_V1-17062023.pdf;The provided context information does not contain any information about a seismic event that occurred on June 16, 2023, in the west of France. Therefore, I cannot provide an answer to this query.;Note-Information-Seisme-Teil-14112019.pdf & IRSN-Seisme-LaRochelle-28042016.pdf;The given context information does not provide any information about a seismic event that occurred on June 16, 2023. Therefore, it is not possible to answer the query.;IRSN-Seisme-Civaux-09092013.pdf & IRSN-Seisme-Civaux-09092013.pdf
irsn_seisme_argeles_gazost_112006.pdf;The earthquake that occurred on November 17, 2006, in the Argelès-Gazost region was located in the Faille nord-pyrénéenne, around which there is moderate and frequent seismic activity in the region. This region is the most active in France. The earthquake was felt strongly in the department of Hautes-Pyrénées, particularly in the Lourdes area, but also moderately in the neighboring departments of Pyrénées-Atlantiques and Haute-Garonne. Light damage was reported in the Lourdes area (falling chimneys), and brief power outages affected some communities in the Hautes-Pyrénées. The magnitude of the earthquake was not specified in the excerpt.;irsn_seisme_argeles_gazost_112006.pdf & irsn_seisme_argeles_gazost_112006.pdf;The earthquake that occurred on November 17, 2006 in the Argelès-Gazost region did not have a direct impact on any nuclear power plants in the region. The closest nuclear power plant, EDF's Golfech installation, is located 145 km away and was not affected by the earthquake. The characteristics of the earthquake indicate that it was associated with the Pyrenean faults and was not representative of the low seismic activity zone (Bassin aquitain) where the Golfech installation is located.;irsn_seisme_argeles_gazost_112006.pdf & irsn_seisme_argeles_gazost_112006.pdf
irsn_seisme_chinon_11_2006.pdf;"1. The magnitude of the earthquake that occurred at the Chinon Nuclear Power Plant on November 5, 2006 was 4.1+/-0.38 on the Richter scale with an epicenter located at a latitude of 47.30 North and a longitude of 0.08 East.
2. The location of the epicenter of the earthquake that occurred at the Chinon Nuclear Power Plant on November 5, 2006 was at a latitude of 47.30 North and a longitude of 0.08 East.
3. The Laboratoire de détection géophysiqu e (LDG) du CEA played a role in assessing the earthquake risk at the Chinon Nuclear Power Plant by estimating the magnitude of the earthquake to be 4.1+/-0.38 on the Richter scale with an epicenter located at a latitude of 47.30 North and a longitude of 0.08 East. They also provided information on the seismic activity in the region and its potential impact on the nuclear power plant.";irsn_seisme_chinon_11_2006.pdf & irsn_seisme_chinon_11_2006.pdf;The provided context information does not mention any specific impact of the 2006 earthquake on the installations nucléaires of the region. However, it does mention that the earthquake occurred near the Centre National de la Protection des Rayonnements Ionisants (CNPI) of Chinon, which is a nuclear power plant. The document also mentions that the earthquake was analyzed using seismotectonic and historical analysis to understand its causes and potential impact on the region. It is possible that the impact of the earthquake on the nuclear power plant was part of the analysis, but the provided context information does not specifically address this.;irsn_seisme_chinon_11_2006.pdf & irsn_seisme_chinon_11_2006.pdf
IRSN_seisme_Christchurch-NZ_23022011.pdf;The impact of the Christchurch earthquake that occurred on February 21, 2011, was significantly more devastating than that of the September 2010 earthquake in New Zealand. The 2011 earthquake resulted in 75 deaths and 300 missing people, while the 2010 earthquake resulted in no fatalities. The 2011 earthquake was also more powerful, with a magnitude of 6.3, compared to the 2010 earthquake's magnitude of 7.1. However, the 2011 earthquake's impact was more severe due to its proximity to urbanized areas, resulting in significant damage to infrastructure and human life. In contrast, the 2010 earthquake's impact was less severe due to its location away from urbanized areas.;IRSN_seisme_Christchurch-NZ_23022011.pdf & IRSN_seisme_Christchurch-NZ_23022011.pdf;There are no nuclear power plants in New Zealand. The GreenDale Fault is a 80 km long, decrochant (horizontal sliding) fault that is situated mostly to the west of Christchurch, New Zealand. It is a regular seismic activity site with over 4000 recorded replicas since September 2010. The GreenDale Fault is a transform fault that is oblique to the Alpine Fault, a major fault in New Zealand's tectonic activity. The GreenDale Fault is a satellite fault to the Alpine Fault. The recent earthquake that occurred on February 21, 2011, was a strong replica that occurred on the eastern termination of the GreenDale Fault. The mechanism of the earthquake was a segment of the faille inverse (deformation in raccourcissement) that produced a vertical coulissage.;IRSN_seisme_Christchurch-NZ_23022011.pdf & IRSN_seisme_Christchurch-NZ_23022011.pdf
IRSN_seisme_france-26022012_V2.pdf;"The earthquake that occurred on February 26, 2012 in the Hautes-Alpes region of France was a moderate earthquake with a magnitude between 4.3 and 4.8, according to the institutions. It occurred at a location of 44°30’ North and 06°42’ East, and its depth was estimated to be approximately 6 km. The earthquake was felt by the population of the South-East of France and the region of Piedmont in Italy. The intensities collected by the BCSF at this time (www.franceseisme.fr) reached V (seismic intensity strongly felt - slight damage on vulnerable buildings). Several aftershocks of low magnitude have already been recorded, with the most important occurring on February 27, 2012 at 17h31 local time, with a magnitude of 4. According to the Sismalp network, a slight seismic activity was recorded in the epicentral area a few days before the main shock. The earthquake of February 26, 2012 is associated with a mechanism called ""en faille normale à composante décrochante"" (INGV - USGS), which is typical of this region of the Alps. The region of Saint-Paul-sur-Ubaye has experienced several seismic episodes in the past, with the most severe occurring on April 5, 1959, with an intensity of VII-VIII (www.sisfrance.net) and a magnitude of approximately 5.";IRSN_seisme_france-26022012_V2.pdf & IRSN_seisme_france-26022012_V2.pdf;The sismic activity in the Ubaye Valley and Haiti, including the historical and current seismic activity, as well as the spatial and mechanical aspects of the 2012 Haiti earthquake, is linked to the 26 February 2012 earthquake in several ways. Firstly, the 26 February 2012 earthquake occurred in a region with a history of seismic activity, and it was one of the most damaging earthquakes in the area. Secondly, the 2003-2004 sismic swarm, which was an important seismic activity in the area, was also linked to the 26 February 2012 earthquake as it was located in the same region. The 2003-2004 sismic swarm was also used to study the characteristics of the 1959 earthquake, which was the most damaging earthquake in the area. Finally, the 26 February 2012 earthquake was located in the same region as the 2003-2004 sismic swarm, and the first determinations of the movement on the fault (mechanism at the source) seem to be compatible with the movements determined during the 2003-2004 sismic swarm.;IRSN_seisme_france-26022012_V2.pdf & IRSN_seisme_france-26022012_V2.pdf
IRSN_seisme_Italie-20052012.pdf;The context information indicates that the Emilia-Romagna region of Italy was affected by a major earthquake on May 20, 2012. The earthquake had a magnitude of 6.1 and occurred at a depth of approximately 6 km in the low-lying plain of the Po River, about 36 km north of Bologna. The epicenter of the earthquake was located at a latitude of 44.89° North and a longitude of 11.23° East. The region is marked by a low to moderate level of seismic activity, with no significant earthquakes of similar magnitude having occurred in the area before. The earthquake caused significant damage, including the collapse of several buildings and historical landmarks, such as the Château Estense in Ferrara. The context information also mentions the presence of several faults in the region, which may have contributed to the complex rupture caused by the earthquake.;IRSN_seisme_Italie-20052012.pdf & IRSN_seisme_Italie-20052012.pdf;The provided context information does not contain any information about the estimated seismic risk and movement in the Pô plain. The first excerpt discusses the Lambesc earthquake and its relationship to the Fissure de la Trévaresse, while the second excerpt discusses the sismic activity in the Montendre earthquake and its impact on the Blayais nuclear power plant.;IRSN-Seisme-Manosque-19092012.pdf & IRSN-Seisme-Charente-Maritime-France-20190320_v1.1.pdf
IRSN_Seisme_Lorca-Espagne_18052011.pdf;The Lorca Earthquake occurred on May 11, 2011, in Lorca, Spain. The earthquake had a magnitude of 5.1 on the EMS98 scale and was located at 37.68° de latitude South and 1.68° de longitude East (source EMSC). The epicenter of the earthquake was in the Mediterranean cities of Lorca and Totana, causing damages to over 20,000 buildings (according to BBC news) and resulting in the collapse of several buildings, including a large clock tower. The earthquake resulted in 9 deaths and several hundred injuries, with over 10,000 people being evacuated from the city of Lorca, which has a population of 92,700. The preliminary intensity of the earthquake in the epicentral zone was VII on the EMS98 scale. The earthquake was preceded by a first seismic activity of magnitude 4.4 at 17h05 (15h05 GMT).;IRSN_Seisme_Lorca-Espagne_18052011.pdf & IRSN_Seisme_Lorca-Espagne_18052011.pdf;"The context information provided indicates that the Lorca Earthquake of May 11, 2011, occurred in the Alps region of France. The document mentions that the earthquake was preceded by a first seismic activity of magnitude 4.4 at 17h05 (15h05 GMT) on the same day. The document also mentions that the Bureau d'évaluation des risques sismiques pour la sûreté des installations (BERSSIN) of the IRSN conducted research and expertise on the alea sismique as a source of aggression external to installations at risk.

However, the document does not provide a detailed description of the geodynamic context of the Lorca Earthquake. Therefore, it is not possible to provide a comprehensive answer to the query without additional information.";IRSN_Seisme_Lorca-Espagne_18052011.pdf & IRSN_seisme_france-26022012_V2.pdf
irsn_seisme_martinique_122007.pdf;The earthquake in Martinique, France occurred on November 29, 2007. Its magnitude was estimated to be 7.4.;irsn_seisme_martinique_122007.pdf & IRSN-Seisme-Vendee-France-20180212.pdf;The epicenter of the 2007 Martinique earthquake was located at a latitude of 14.951° North and a longitude of 61.24° West.;irsn_seisme_martinique_122007.pdf & irsn_seisme_martinique_122007.pdf
